weather,incidents
Fair,757575
Clear,183323
Cloudy,136365
Mostly Cloudy,132452
Partly Cloudy,109809
Light Rain,50364
Haze,43661
Overcast,42300
Scattered Clouds,23595
Fog,23263
Rain,17037
Fair / Windy,11010
Smoke,7997
Heavy Rain,5769
Light Snow,2297
Mostly Cloudy / Windy,1512
Cloudy / Windy,1486
Partly Cloudy / Windy,1388
Light Rain / Windy,1360
Snow,789
Light Drizzle,780
Rain / Windy,663
Drizzle,598
Mist,551
Patches of Fog,450
Heavy Snow,445
Shallow Fog,417
Thunder in the Vicinity,392
Heavy Rain / Windy,353
T-Storm,332
Showers in the Vicinity,325
Haze / Windy,284
N/A Precipitation,188
Light Rain with Thunder,167
Fog / Windy,159
Thunder,139
Blowing Dust / Windy,132
Light Snow / Windy,113
Wintry Mix,103
Heavy T-Storm,95
Blowing Dust,94
Light Rain Shower,73
Rain Showers,67
Light Thunderstorms and Rain,56
Thunderstorms and Rain,54
Widespread Dust,51
Snow / Windy,49
Heavy Drizzle,40
Smoke / Windy,34
Rain Shower,33
Partial Fog,29
Heavy Snow / Windy,29
Light Rain Showers,25
Heavy Thunderstorms and Rain,19
Thunderstorm,17
T-Storm / Windy,17
Snow and Thunder,14
Widespread Dust / Windy,13
Mist / Windy,13
Light Drizzle / Windy,11
Light Rain Shower / Windy,10
Blowing Snow,10
Squalls / Windy,9
Hail,7
Light Haze,6
Heavy T-Storm / Windy,5
Thunder and Hail,5
Light Freezing Rain,5
Light Freezing Fog,5
Squalls,4
Light Snow Shower,4
Thunder / Windy,4
Small Hail,4
Rain Shower / Windy,3
Drizzle / Windy,3
Blowing Sand,2
Light Hail,2
Heavy Rain Shower,2
Light Snow Showers,1
Dust Whirls,1
Light Snow with Thunder,1
Sand / Windy,1
